Gene	Cytoband	Altered group	Unaltered group	Altered group	Unaltered group	Log Ratio	p-Value	q-Value	Higher expression in
HK2	2p12	10.22	8.92	0.55	1.13	1.30	7.51e-33	1.50e-28	Altered group
LST1	6p21.33	8.60	7.08	0.65	1.04	1.52	2.81e-32	2.81e-28	Altered group
CD86	3q13.33	9.23	7.28	0.85	1.15	1.95	2.57e-31	1.46e-27	Altered group
ARHGAP15	2q22.2-q22.3	6.72	4.68	0.90	1.32	2.04	2.93e-31	1.46e-27	Altered group
TYROBP	19q13.12	10.86	9.14	0.77	1.09	1.72	1.13e-30	3.86e-27	Altered group
STAT5A	17q21.2	9.34	8.03	0.59	0.96	1.31	1.16e-30	3.86e-27	Altered group
MAP4K1	19q13.2	6.83	5.37	0.66	1.06	1.46	2.92e-30	8.35e-27	Altered group
CD300C	17q25.1	6.23	4.47	0.81	1.14	1.76	1.61e-29	4.04e-26	Altered group
GNGT2	17q21.32	5.67	4.09	0.72	0.93	1.58	2.05e-29	4.55e-26	Altered group
CD74	5q33.1	15.34	13.09	1.04	1.37	2.25	3.06e-29	6.12e-26	Altered group
GPSM3	6p21.32	9.58	8.01	0.72	0.87	1.57	3.37e-29	6.13e-26	Altered group
TBXAS1	7q34	9.86	8.15	0.79	1.07	1.70	4.65e-29	7.76e-26	Altered group
LAIR1	19q13.42	10.06	8.03	0.94	1.14	2.03	5.54e-29	8.24e-26	Altered group
FCGR2A	1q23.3	10.39	8.40	0.93	1.20	1.99	5.95e-29	8.24e-26	Altered group
TNFSF12-TNFSF13	17p13.1	6.87	3.80	1.45	2.49	3.07	6.18e-29	8.24e-26	Altered group
LAT2	7q11.23	9.71	7.99	0.81	1.10	1.72	8.39e-29	1.05e-25	Altered group
C3AR1	12p13.31	10.40	8.44	0.92	1.21	1.96	1.26e-28	1.48e-25	Altered group
CTSS	1q21.3	10.73	8.81	0.89	1.02	1.92	1.35e-28	1.50e-25	Altered group
RNASE6	14q11.2	9.06	7.27	0.84	1.05	1.79	1.65e-28	1.74e-25	Altered group
HLA-DRA	6p21.32	13.82	11.23	1.22	1.51	2.58	1.94e-28	1.90e-25	Altered group
HLA-DMA	6p21.32	10.73	8.73	0.94	1.16	1.99	1.99e-28	1.90e-25	Altered group
HLA-DPB1	6p21.32	11.92	9.49	1.16	1.49	2.44	2.13e-28	1.93e-25	Altered group
DAPP1	4q23	6.30	3.99	1.08	1.14	2.31	2.85e-28	2.48e-25	Altered group
CD33	19q13.41	7.60	5.94	0.79	1.11	1.66	2.99e-28	2.49e-25	Altered group
TRAF3IP3	1q32.2	6.81	4.74	0.99	1.20	2.07	3.76e-28	2.96e-25	Altered group
C19ORF38	19p13.2	6.58	5.04	0.74	0.92	1.54	3.84e-28	2.96e-25	Altered group
HLA-DPA1	6p21.32	12.73	10.24	1.19	1.46	2.50	4.08e-28	3.02e-25	Altered group
DENND1C	19p13.3	7.48	5.88	0.78	1.03	1.61	5.80e-28	4.15e-25	Altered group
LAPTM5	1p35.2	13.15	11.44	0.83	1.05	1.71	7.39e-28	4.92e-25	Altered group
IRF5	7q32.1	8.99	7.50	0.72	0.98	1.48	7.58e-28	4.92e-25	Altered group
HLA-DOA	6p21.32	10.23	7.55	1.29	1.54	2.68	7.62e-28	4.92e-25	Altered group
PILRA	7q22.1	8.14	6.79	0.65	0.83	1.35	8.22e-28	5.14e-25	Altered group
HLA-DMB	6p21.32	10.83	8.69	1.03	1.18	2.14	9.75e-28	5.91e-25	Altered group
SCIMP	17p13.2	5.51	3.52	0.96	1.11	1.99	1.01e-27	5.93e-25	Altered group
MS4A6A	11q12.2	10.12	7.82	1.13	1.64	2.29	1.39e-27	7.96e-25	Altered group
RBM47	4p14	8.31	6.39	0.94	1.15	1.93	1.49e-27	8.08e-25	Altered group
CASP1	11q22.3	8.51	6.70	0.88	1.13	1.81	1.49e-27	8.08e-25	Altered group
TLR8	Xp22.2	6.44	3.90	1.22	1.28	2.54	1.74e-27	9.17e-25	Altered group
PRAM1	19p13.2	8.02	6.09	0.95	1.28	1.92	2.06e-27	1.06e-24	Altered group
VAMP8	2p11.2	9.20	7.61	0.79	0.98	1.60	3.68e-27	1.82e-24	Altered group
CPVL	7p14.3	9.87	8.20	0.83	1.19	1.67	3.73e-27	1.82e-24	Altered group
KYNU	2q22.2	5.93	3.65	1.12	1.33	2.28	4.11e-27	1.95e-24	Altered group
SLC1A5	19q13.32	9.45	7.93	0.76	1.15	1.52	4.20e-27	1.95e-24	Altered group
TNFAIP8L2	1q21.3	7.93	6.36	0.78	1.06	1.57	4.59e-27	2.09e-24	Altered group
SYK	9q22.2	10.09	8.30	0.89	1.10	1.79	6.22e-27	2.76e-24	Altered group
IL18	11q23.1	8.79	6.81	0.99	1.17	1.99	7.52e-27	3.27e-24	Altered group
LCP1	13q14.13	10.67	8.93	0.86	0.97	1.74	7.87e-27	3.32e-24	Altered group
ALOX5AP	13q12.3	9.82	7.61	1.10	1.45	2.21	7.98e-27	3.32e-24	Altered group
LHFPL2	5q14.1	10.92	9.42	0.74	0.75	1.51	8.14e-27	3.32e-24	Altered group
MYO1F	19p13.2	10.02	8.30	0.86	1.03	1.73	9.05e-27	3.62e-24	Altered group
NCF4	22q12.3	8.06	6.58	0.75	1.06	1.49	9.26e-27	3.63e-24	Altered group
LY86	6p25.1	9.26	7.60	0.83	1.15	1.66	9.76e-27	3.76e-24	Altered group
RASGRP4	19q13.2	7.18	5.43	0.88	1.12	1.75	1.18e-26	4.38e-24	Altered group
CD300A	17q25.1	8.79	7.22	0.79	1.04	1.56	1.18e-26	4.38e-24	Altered group
