Gene	Cytoband	Altered group	Unaltered group	Altered group	Unaltered group	Log Ratio	p-Value	q-Value	Higher expression in
EVI2B	17q11.2	10.88	8.98	0.21	1.03	1.90	9.30e-82	1.86e-77	Altered group
BIN2	12q13.13	9.45	7.85	0.32	1.02	1.61	3.39e-39	3.39e-35	Altered group
KLHL6	3q27.1	9.93	8.03	0.41	1.17	1.90	2.41e-35	1.61e-31	Altered group
ARHGEF6	Xq26.3	10.10	8.67	0.31	0.93	1.43	6.23e-35	2.54e-31	Altered group
BTK	Xq22.1	9.48	7.63	0.40	1.15	1.85	6.35e-35	2.54e-31	Altered group
NCKAP1L	12q13.13-q13.2	10.99	9.15	0.44	1.14	1.85	2.75e-31	9.16e-28	Altered group
IL10RA	11q23.3	11.08	9.40	0.42	1.00	1.69	9.90e-29	2.83e-25	Altered group
CD53	1p13.3	11.81	10.07	0.44	1.02	1.74	1.35e-28	3.38e-25	Altered group
CSF2RB	22q12.3	10.43	8.61	0.47	1.08	1.82	7.91e-28	1.76e-24	Altered group
SASH3	Xq26.1	10.59	8.81	0.46	1.03	1.78	1.71e-27	3.43e-24	Altered group
PTPRC	1q31.3-q32.1	12.10	10.14	0.51	1.18	1.96	2.19e-27	3.98e-24	Altered group
ITGAL	16p11.2	11.02	9.18	0.49	1.15	1.83	3.73e-27	6.21e-24	Altered group
PIK3CG	7q22.3	8.78	6.80	0.54	1.23	1.99	1.71e-26	2.62e-23	Altered group
ADA2	22q11.1	12.16	10.59	0.43	1.03	1.57	2.07e-26	2.95e-23	Altered group
IL16	15q25.1	10.49	8.76	0.46	1.00	1.72	3.08e-26	4.11e-23	Altered group
FLI1	11q24.3	9.87	8.44	0.39	0.84	1.43	8.56e-26	1.07e-22	Altered group
PLEKHA2	8p11.22	10.56	9.61	0.28	0.76	0.95	1.03e-25	1.21e-22	Altered group
ARHGAP25	2p13.3	9.91	8.37	0.41	0.81	1.54	1.63e-25	1.79e-22	Altered group
TAGAP	6q25.3	9.46	7.69	0.49	1.07	1.77	1.70e-25	1.79e-22	Altered group
IKZF1	7p12.2	10.33	8.53	0.50	1.07	1.79	2.08e-25	2.08e-22	Altered group
WIPF1	2q31.1	11.64	10.26	0.39	0.81	1.38	3.45e-25	3.28e-22	Altered group
PTPN22	1p13.2	8.72	7.21	0.46	1.28	1.50	6.39e-25	5.81e-22	Altered group
DOCK2	5q35.1	10.78	8.97	0.52	1.13	1.82	6.76e-25	5.87e-22	Altered group
LPXN	11q12.1	10.15	8.69	0.41	0.81	1.46	1.23e-24	1.02e-21	Altered group
IRAG2	12p12.1	8.51	6.60	0.58	1.36	1.91	1.71e-24	1.32e-21	Altered group
APBB1IP	10p12.1	9.71	8.20	0.45	1.05	1.50	1.72e-24	1.32e-21	Altered group
ZEB2	2q22.3	10.67	9.30	0.41	0.91	1.37	3.20e-24	2.36e-21	Altered group
ARHGAP30	1q23.3	10.87	9.36	0.45	0.93	1.52	3.66e-24	2.61e-21	Altered group
LCP1	13q14.13	13.31	11.72	0.48	1.07	1.59	9.59e-24	6.61e-21	Altered group
LCP2	5q35.1	10.47	8.97	0.45	0.96	1.50	1.05e-23	6.99e-21	Altered group
