Gene	Cytoband	Altered group	Unaltered group	Altered group	Unaltered group	Log Ratio	p-Value	q-Value	Higher expression in
SLAMF6	1q23.2-q23.3	9.98	5.69	0.71	2.19	4.29	6.88e-48	1.38e-43	Altered group
NCKAP1L	12q13.13-q13.2	11.30	8.18	0.54	1.69	3.12	7.66e-47	7.27e-43	Altered group
PLEK	2p14	11.42	8.26	0.54	1.68	3.16	1.09e-46	7.27e-43	Altered group
DOCK2	5q35.1	11.25	8.07	0.55	1.68	3.19	4.96e-46	2.48e-42	Altered group
CD53	1p13.3	12.09	8.79	0.57	1.66	3.30	1.85e-44	7.42e-41	Altered group
LCP1	13q14.13	13.69	10.58	0.55	1.61	3.11	9.90e-44	3.30e-40	Altered group
EVI2B	17q11.2	11.07	7.78	0.56	1.48	3.29	2.07e-43	5.92e-40	Altered group
BIN2	12q13.13	9.98	6.63	0.59	1.66	3.35	5.42e-43	1.36e-39	Altered group
CD96	3q13.13-q13.2	9.54	5.84	0.69	2.08	3.70	1.07e-42	2.38e-39	Altered group
CYTIP	2q24.1	10.13	6.36	0.68	1.85	3.77	9.20e-42	1.84e-38	Altered group
LILRB1	19q13.42	9.50	6.25	0.63	1.91	3.25	1.63e-41	2.97e-38	Altered group
PIK3CG	7q22.3	8.70	5.22	0.66	1.91	3.47	3.16e-41	5.27e-38	Altered group
LAX1	1q32.1	8.49	4.06	0.80	2.11	4.43	6.60e-41	1.02e-37	Altered group
GLIPR1	12q21.2	9.86	7.42	0.49	1.49	2.44	4.16e-40	5.94e-37	Altered group
CYBB	Xp21.1-p11.4	11.96	8.91	0.62	1.83	3.05	1.05e-39	1.40e-36	Altered group
ST8SIA4	5q21.1	9.58	6.99	0.51	1.41	2.59	1.67e-39	2.09e-36	Altered group
TASL	Xp21.2	7.13	4.05	0.58	1.47	3.08	3.31e-39	3.90e-36	Altered group
SCIMP	17p13.2	7.29	4.00	0.64	1.70	3.29	7.68e-39	8.53e-36	Altered group
SLA	8q24.22	10.78	7.82	0.59	1.59	2.96	9.61e-39	1.01e-35	Altered group
PTPN22	1p13.2	8.70	5.04	0.71	1.84	3.66	1.05e-38	1.05e-35	Altered group
ADAM28	8p21.2	8.54	4.61	0.76	1.93	3.93	1.17e-38	1.09e-35	Altered group
TAGAP	6q25.3	9.81	6.28	0.67	1.69	3.53	1.19e-38	1.09e-35	Altered group
VAV1	19p13.3	10.08	6.77	0.66	1.80	3.30	1.83e-38	1.59e-35	Altered group
CCDC69	5q33.1	10.64	7.55	0.59	1.49	3.09	2.24e-38	1.85e-35	Altered group
SP140	2q37.1	9.55	5.72	0.73	1.84	3.83	2.31e-38	1.85e-35	Altered group
IL21R	16p12.1	9.39	5.66	0.76	2.11	3.73	3.94e-38	3.04e-35	Altered group
GAB3	Xq28	8.23	5.69	0.50	1.28	2.54	5.42e-38	4.02e-35	Altered group
PTPRC	1q31.3-q32.1	12.54	8.36	0.82	2.09	4.18	9.31e-38	6.66e-35	Altered group
IL2RG	Xq13.1	11.86	8.19	0.76	2.05	3.67	1.21e-37	8.36e-35	Altered group
LYN	8q12.1	10.81	8.58	0.45	1.18	2.23	3.81e-37	2.54e-34	Altered group
HLA-DMB	6p21.32	12.23	9.37	0.60	1.58	2.85	9.66e-37	6.24e-34	Altered group
APBB1IP	10p12.1	10.33	7.18	0.65	1.68	3.16	1.02e-36	6.41e-34	Altered group
HLA-DRA	6p21.32	15.89	12.88	0.65	1.86	3.01	1.28e-36	7.73e-34	Altered group
SIGLEC10	19q13.41	9.58	6.29	0.70	1.91	3.29	1.31e-36	7.73e-34	Altered group
VCAM1	1p21.2	11.05	8.02	0.64	1.71	3.03	1.38e-36	7.87e-34	Altered group
ARHGAP25	2p13.3	10.57	7.56	0.60	1.43	3.01	2.07e-36	1.15e-33	Altered group
PIK3AP1	10q24.1	10.80	7.98	0.59	1.52	2.82	5.16e-36	2.79e-33	Altered group
